,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,totalGames,winRate,masteryRatio,mostPlayedID
127,IRON,I,6J8kgIz1A7KA4i0ZP8uzEzvl1j4B8wwetfv7Yo04uW5UJH9c,cowhcowh,90,10,8,18,55.55555555555556,1.399438713592233,141.0
128,IRON,I,4RarrC0QZD17M1PfIN_fJLO_ZcVKr5OFr5JgiXMvAjn0XhPW,Kyomix,0,14,19,33,42.42424242424242,1.0740319646569647,518.0
129,IRON,I,nMpXqx1_PNrqJIAG1PetaBJ1KifmwUbxs3eWSE4U_rI_kLpj,LilOldGhosty,99,4,6,10,40.0,1.5354271919563973,19.0
130,IRON,I,xPjO7GfAlaYh6-7GpfbRefkkl3afIJWnKJPUX-RLtNO47TTl,SG J Cage,100,11,5,16,68.75,3.589558892773776,555.0
131,IRON,I,Czj7cPXAacNgebzsDLp8_epB7EbyqzR7Bvdq4jXuPcwXKB13,FlaminRubberMain,52,3,9,12,25.0,6.383546276098473,22.0
132,IRON,I,siMKgi31JiILJcGduFl3AIE4YBE1LUNpgpJmhUgMB3oEZegH,nathan Summers 0,11,7,14,21,33.33333333333333,1.4431082830025885,122.0
133,IRON,I,i6rlcT4J0RBY1-4HmDfY3jU39id0MjI_uIaEbAfa0OGXJCz3,925,16,22,36,58,37.93103448275862,2.0333115305550367,141.0
134,IRON,I,Ss1dzjY6-GO31yMCjUjaRXqeW8ePtQp2dgMuWRxtD9SduFVi,Zearch,76,6,6,12,50.0,1.16403785488959,84.0
135,IRON,I,7plc0YqeDfRxTOxnPe3i_F8P1ZWsHukjqyJMkQ31nUg1srB_,XFyvesX,8,2,9,11,18.181818181818183,1.1743689320388349,131.0
136,IRON,I,1_hLuKDe6mOeCPMEKVR4hGA4eVYd7iB-Z7clNwINZijqU2t4,F4gB4g6969,41,9,16,25,36.0,3.131521682814362,555.0
137,IRON,I,bOnM1Xtg-sgcgat4AB2xpium0tlz0Bdn6pxDW-pofm0KJaMu,THEEPICSTORM814,81,4,8,12,33.33333333333333,1.6218677042801557,74.0
138,IRON,I,D0PPyalFkAig7gP9kc8SNrmcrYcCnT89YOGT-_WdUM1RNxVl,BigDaddy2223,8,2,8,10,20.0,3.5247893396041543,21.0
139,IRON,I,4TpUXt4ul5crTTpMpWb4UtGRcCUmDSqbZDV-y-qhdhrld7hz,bertinsky,0,3,14,17,17.647058823529413,2.332582509058858,53.0
