,championId,championLevel,championPoints,lastPlayTime,championPointsSinceLastLevel,championPointsUntilNextLevel,chestGranted,tokensEarned,summonerId,tier
3117,89,7,216134,1583710210000,194534,0,True,0,uEo-OG5p6fAf8F6uqFVU0CR-B_bElKo6axGhMdLhq8mTEY1A,BRONZE
3118,99,7,80540,1583577885000,58940,0,True,0,uEo-OG5p6fAf8F6uqFVU0CR-B_bElKo6axGhMdLhq8mTEY1A,BRONZE
3119,98,7,46683,1583712795000,25083,0,True,0,uEo-OG5p6fAf8F6uqFVU0CR-B_bElKo6axGhMdLhq8mTEY1A,BRONZE
3120,105,6,126963,1583536126000,105363,0,True,0,4k7_FkIuPcIdciKI1D6mzX4Y8eHigVc6pBkSNpLN-0KSA5ST,BRONZE
3121,141,4,18959,1582415620000,6359,2641,False,0,4k7_FkIuPcIdciKI1D6mzX4Y8eHigVc6pBkSNpLN-0KSA5ST,BRONZE
3122,122,4,18940,1581916166000,6340,2660,False,0,4k7_FkIuPcIdciKI1D6mzX4Y8eHigVc6pBkSNpLN-0KSA5ST,BRONZE
3123,142,6,97217,1583868787000,75617,0,True,2,JtKUkmZBY5oskzmPTZ5RUfE05372NFpai20vA1w9ca8ATZRh,BRONZE
3124,99,6,70070,1583971799000,48470,0,True,0,JtKUkmZBY5oskzmPTZ5RUfE05372NFpai20vA1w9ca8ATZRh,BRONZE
3125,235,5,45207,1583874109000,23607,0,True,2,JtKUkmZBY5oskzmPTZ5RUfE05372NFpai20vA1w9ca8ATZRh,BRONZE
3126,86,6,71686,1584000195000,50086,0,True,2,HD1M7T0CrpdY2Mu1UeHGksmjXGkTqCA9dc3osKbnt6npUz4v,BRONZE
3127,17,6,52977,1584003890000,31377,0,True,0,HD1M7T0CrpdY2Mu1UeHGksmjXGkTqCA9dc3osKbnt6npUz4v,BRONZE
3128,19,6,33607,1583633790000,12007,0,False,1,HD1M7T0CrpdY2Mu1UeHGksmjXGkTqCA9dc3osKbnt6npUz4v,BRONZE
3129,99,6,151442,1582249121000,129842,0,True,1,VYzSYqhz6TDwpt9XtZpitpBraoUz8GLdhcM2RWFdk0yZkC6n,BRONZE
3130,518,5,50982,1582771564000,29382,0,False,0,VYzSYqhz6TDwpt9XtZpitpBraoUz8GLdhcM2RWFdk0yZkC6n,BRONZE
3131,103,3,9970,1582849570000,3970,2630,True,0,VYzSYqhz6TDwpt9XtZpitpBraoUz8GLdhcM2RWFdk0yZkC6n,BRONZE
3132,157,7,80666,1583097553000,59066,0,False,0,CYqpw7QBGIq1WIgUYm18_3Sk-bsE4tDQdFxTy3bP0Yo0k6BX,BRONZE
3133,86,7,54927,1583095819000,33327,0,False,0,CYqpw7QBGIq1WIgUYm18_3Sk-bsE4tDQdFxTy3bP0Yo0k6BX,BRONZE
3134,202,7,45610,1580855717000,24010,0,False,0,CYqpw7QBGIq1WIgUYm18_3Sk-bsE4tDQdFxTy3bP0Yo0k6BX,BRONZE
3135,110,6,49536,1580330873000,27936,0,False,1,2V5nM9nE9uqjTg3XsT-7YNOLGA1cenrxlJ6i14un4AHj-8Ts,BRONZE
3136,141,6,44956,1581906955000,23356,0,False,0,2V5nM9nE9uqjTg3XsT-7YNOLGA1cenrxlJ6i14un4AHj-8Ts,BRONZE
3137,222,5,22048,1570664744000,448,0,False,0,2V5nM9nE9uqjTg3XsT-7YNOLGA1cenrxlJ6i14un4AHj-8Ts,BRONZE
3138,222,5,23523,1583964750000,1923,0,True,0,rMRHsadokG2KHhwcqIer222gGGV09UcfVxeEY36bwikf6KJH,BRONZE
3139,101,3,9135,1583962350000,3135,3465,True,0,rMRHsadokG2KHhwcqIer222gGGV09UcfVxeEY36bwikf6KJH,BRONZE
3140,517,3,7207,1583567209000,1207,5393,True,0,rMRHsadokG2KHhwcqIer222gGGV09UcfVxeEY36bwikf6KJH,BRONZE
3141,157,5,40342,1583888706000,18742,0,True,2,5hOztLgXncYHd3y_vafadfk1SXE9wIZPg4Vzc85b8827MH7U,BRONZE
3142,29,4,21572,1583202857000,8972,28,True,0,5hOztLgXncYHd3y_vafadfk1SXE9wIZPg4Vzc85b8827MH7U,BRONZE
3143,63,4,16094,1582834415000,3494,5506,True,0,5hOztLgXncYHd3y_vafadfk1SXE9wIZPg4Vzc85b8827MH7U,BRONZE
3144,141,7,135781,1583276437000,114181,0,True,0,rWcbVNR6csB0to7yjFcwJSsJhaMHvIebELw8s8E0VQzBKpRl,BRONZE
3145,33,7,109366,1583959305000,87766,0,True,0,rWcbVNR6csB0to7yjFcwJSsJhaMHvIebELw8s8E0VQzBKpRl,BRONZE
3146,497,7,68319,1583454707000,46719,0,False,0,rWcbVNR6csB0to7yjFcwJSsJhaMHvIebELw8s8E0VQzBKpRl,BRONZE
3147,91,6,54644,1583983002000,33044,0,True,0,lR-oH74gPqPBeVgXa58yEKkLIxuQIxllzEztr2m_58ZZgw8t,BRONZE
3148,106,3,7925,1581837314000,1925,4675,False,0,lR-oH74gPqPBeVgXa58yEKkLIxuQIxllzEztr2m_58ZZgw8t,BRONZE
3149,45,3,7605,1577880572000,1605,4995,False,0,lR-oH74gPqPBeVgXa58yEKkLIxuQIxllzEztr2m_58ZZgw8t,BRONZE
3150,10,5,141239,1584050419000,119639,0,True,0,b8zBZ3tLx1s9r7AmS6fOhHVJDgTPJZmKgrP40q-ob33C7qmB,BRONZE
3151,555,5,42042,1583874695000,20442,0,False,0,b8zBZ3tLx1s9r7AmS6fOhHVJDgTPJZmKgrP40q-ob33C7qmB,BRONZE
3152,202,5,30740,1583020475000,9140,0,True,0,b8zBZ3tLx1s9r7AmS6fOhHVJDgTPJZmKgrP40q-ob33C7qmB,BRONZE
3153,555,6,73003,1582470320000,51403,0,False,1,A9lLP-az1r58iADPIvBSHUPGlZiMZGps0Z2WbXLI47aRF_hg,BRONZE
3154,21,5,32498,1583815324000,10898,0,True,2,A9lLP-az1r58iADPIvBSHUPGlZiMZGps0Z2WbXLI47aRF_hg,BRONZE
3155,17,6,32063,1581713092000,10463,0,False,1,A9lLP-az1r58iADPIvBSHUPGlZiMZGps0Z2WbXLI47aRF_hg,BRONZE
3156,107,6,51384,1581104851000,29784,0,False,3,DbMA2ziaztAqTR2FEPVIa1u4P70sRdR8G_tjupDXHJcxOAsr,BRONZE
3157,421,5,38692,1581568869000,17092,0,False,2,DbMA2ziaztAqTR2FEPVIa1u4P70sRdR8G_tjupDXHJcxOAsr,BRONZE
3158,2,5,37491,1581276880000,15891,0,True,0,DbMA2ziaztAqTR2FEPVIa1u4P70sRdR8G_tjupDXHJcxOAsr,BRONZE
3159,555,3,12374,1579880727000,6374,226,False,0,WYyno3lFZGhKGo4_koAVP7IbQ663podFVi8hiOhtYS8DazGw,BRONZE
3160,235,3,9016,1582649059000,3016,3584,True,0,WYyno3lFZGhKGo4_koAVP7IbQ663podFVi8hiOhtYS8DazGw,BRONZE
3161,202,2,5915,1580649981000,4115,85,False,0,WYyno3lFZGhKGo4_koAVP7IbQ663podFVi8hiOhtYS8DazGw,BRONZE
3162,145,5,40015,1583825945000,18415,0,True,2,Y_8w-SoCR3P_CN2W-eL7YoGN6hFpU1rxVItPq8JWV0V6o7oU,BRONZE
3163,64,5,28490,1583214849000,6890,0,False,0,Y_8w-SoCR3P_CN2W-eL7YoGN6hFpU1rxVItPq8JWV0V6o7oU,BRONZE
3164,103,5,28188,1583202857000,6588,0,True,1,Y_8w-SoCR3P_CN2W-eL7YoGN6hFpU1rxVItPq8JWV0V6o7oU,BRONZE
3165,238,7,121561,1578182303000,99961,0,False,0,niClVtHByyWqPd8XfagYxtX4iaKX_yIjOHgBeLbNxiyK61ij,BRONZE
3166,84,7,63839,1583621799000,42239,0,False,0,niClVtHByyWqPd8XfagYxtX4iaKX_yIjOHgBeLbNxiyK61ij,BRONZE
3167,157,7,59858,1580688959000,38258,0,True,0,niClVtHByyWqPd8XfagYxtX4iaKX_yIjOHgBeLbNxiyK61ij,BRONZE
3168,99,5,27371,1582694527000,5771,0,True,2,hOZTPbYc713lCMG9mwK6OFFJvW4apWXVo8O-UfWQ26QI9yPP,BRONZE
3169,67,4,15644,1583457472000,3044,5956,False,0,hOZTPbYc713lCMG9mwK6OFFJvW4apWXVo8O-UfWQ26QI9yPP,BRONZE
3170,55,3,10731,1583454872000,4731,1869,True,0,hOZTPbYc713lCMG9mwK6OFFJvW4apWXVo8O-UfWQ26QI9yPP,BRONZE
3171,55,6,38783,1583462992000,17183,0,True,3,6u0lqJ0LYbIzYBsv645Rj9vaUehOUousm4Bm-V8kREpJO5YQ,BRONZE
3172,107,6,31079,1583649837000,9479,0,False,0,6u0lqJ0LYbIzYBsv645Rj9vaUehOUousm4Bm-V8kREpJO5YQ,BRONZE
3173,157,3,6552,1583647084000,552,6048,True,0,6u0lqJ0LYbIzYBsv645Rj9vaUehOUousm4Bm-V8kREpJO5YQ,BRONZE
3174,27,7,306662,1583987803000,285062,0,True,0,wL1ZNSFghCAylC9DU7vk-TfCDABzfV67LL8jszzDbiWPuplC,BRONZE
3175,17,5,107925,1579569453000,86325,0,False,2,wL1ZNSFghCAylC9DU7vk-TfCDABzfV67LL8jszzDbiWPuplC,BRONZE
